Rank,Company,Total Income (Cr),Net Income (Cr),Profit (Cr),Profit % of Revenue,Cash Balance (Cr),Total Debt (Cr),Total Assets (Cr),Net Worth (Cr),RONW%,ROCE%,Employees,Avg M-Cap (Cr),TSR%
1,Reliance Industries,922391,901064,69621,7.6%,97225,458991,1396970,793481,10.5%,10.5%,347362,1921959,7.7%
2,LIC,860795,845966,40916,4.8%,41824,0,5252252,82937,63.3%,1%,98661,610044,48.8%
3,Indian Oil Corporation,780509,776352,41730,5.4%,3159,132628,326519,183416,26.7%,21.2%,30321,225021,35.9%
4,ONGC,610642,591447,49221,8.1%,36690,153181,570448,337070,18.4%,17.3%,15804,339534,33.5%
5,State Bank of India,594575,439189,67085,11.3%,326572,5606147,6746909,387384,19%,1.1%,232296,681659,46.8%
6,Bharat Petroleum Corporation,453373,448083,26859,5.9%,6286,54599,132680,75635,41.6%,31.3%,8613,129995,59.3%
7,Tata Motors,446155,437928,31399,7%,45807,107263,233348,84918,48.8%,17.4%,60113,341566,15.2%
8,HDFC Bank,407995,283649,64062,15.7%,228835,3107503,4035827,456395,17.6%,2%,213565,1206302,14.8%
9,Tata Consultancy Services,245315,240893,45908,18.7%,13286,8021,100873,90254,51%,62.9%,631858,1457160,16.4%
10,ICICI Bank,236038,159516,44256,18.8%,162769,1651008,2369248,253033,19.4%,2%,141009,795592,37.2%
11,Tata Steel,226665,229171,-4437,NAP,8678,87082,192994,90426,NAP,6.6%,78052,190622,15.8%
12,Larsen & Toubro,224364,221113,13059,5.8%,15358,116322,220573,86359,17.7%,14.5%,57265,487289,15.6%
13,Hindalco Industries,216194,215962,10155,4.7%,14437,56356,170742,106146,10.1%,10.7%,39899,140666,31.7%
14,NTPC,183892,178501,20812,11.3%,6847,237131,411639,160709,13.9%,10.3%,16360,349388,49.2%
15,JSW Steel,179686,175006,8812,4.9%,12348,87948,171044,77669,12.5%,13.5%,13301,217274,25.7%
16,Infosys,158381,153670,26233,16.6%,14786,8359,99185,76012,37.1%,44.7%,317240,687264,30.1%
17,Bharti Airtel,154127,149982,7467,4.8%,16340,215592,334054,82019,17.1%,13.7%,14322,795530,60.8%
18,Coal India,152241,142324,37402,24.6%,30235,6523,175327,82730,52.1%,30.5%,228861,278603,31.5%
19,Vedanta,149898,143727,4239,2.8%,4327,87706,138531,30722,10.7%,17.6%,97015,143149,110.5%
20,Maruti Suzuki India,146584,141858,13488,9.2%,2827,119,89061,85636,16.8%,21%,12515,369650,6%
21,Mahindra & Mahindra,143831,139078,11269,7.8%,12013,106626,195075,66191,20%,13.8%,24405,290780,84.6%
22,Bank of Baroda,141779,118379,18767,13.2%,100290,1453761,1658278,119712,16.4%,1.2%,74227,129611,25.5%
23,Canara Bank,139165,110519,15279,11%,151165,1369780,1535018,83015,19.3%,1.1%,82638,97414,26.2%
24,Axis Bank,137989,112759,26386,19.1%,116493,1295302,1518924,157024,18.4%,1.8%,104332,352974,14%
25,GAIL,135968,133228,9899,7.3%,1712,21794,105597,76997,14%,13.7%,14840,129350,53.2%
26,Nayara Energy,134371,133114,12321,9.2%,6035,13496,59258,43491,33.3%,33.3%,NAVL,NAP,NAP
27,Grasim Industries,132498,130978,5624,4.2%,4649,137144,360056,88652,11.9%,8.2%,25929,161029,28.7%
28,Punjab National Bank,123222,109065,9107,7.4%,131400,1451811,1600024,102081,9.3%,0.6%,102349,125722,29.7%
29,Union Bank of India,118188,100376,13797,11.7%,119646,1251568,1404784,91953,16.7%,1%,75866,100853,9%
